id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1542544910452199427,1542544910452199427,2022-06-30 21:55:40 IST,2022-06-30,21:55:40,+0530,43248377,kirfinance,KIR Finance,,"This market sucks. Nobody timed the bottom. Historic data is trash. Charts mean nothing. Another red day. Web3 is a scam. Crypto is dead.   Phew... Now that I've gotten that out 😄, it's time to maximize this opportunity. We all have choices to make.   #bitcoin #crypto",en,[],[],[],5,0,37,"['bitcoin', 'crypto']",[],https://twitter.com/KIRFinance/status/1542544910452199427,False,,0,,,,,,,,[],,,,
1542544410126303232,1542478782048641026,2022-06-30 21:53:41 IST,2022-06-30,21:53:41,+0530,1287705992675950592,rockerfellerxau,🔥Rockerfeller,,@saylor Bitcoin is dead,en,[],[],[],5,2,28,[],[],https://twitter.com/rockerfellerxau/status/1542544410126303232,False,,0,,,,,,,,"[{'screen_name': 'saylor', 'name': 'Michael Saylor⚡️', 'id': '244647486'}]",,,,
1542544037101637633,1542358974598627330,2022-06-30 21:52:12 IST,2022-06-30,21:52:12,+0530,1451147503286558729,omur08102021,hOwiE,,@udiWertheimer @el33th4xor dead investment #Bitcoin is dead!!!,en,[],[],[],0,0,1,['bitcoin'],[],https://twitter.com/Omur08102021/status/1542544037101637633,False,,0,,,,,,,,"[{'screen_name': 'udiWertheimer', 'name': 'udiverse.eth', 'id': '14527699'}, {'screen_name': 'el33th4xor', 'name': 'Emin Gün Sirer🔺', 'id': '399412477'}]",,,,
1542542920229724160,1542522499312648192,2022-06-30 21:47:45 IST,2022-06-30,21:47:45,+0530,868003567,ivor_park_fin,Ivor Harper,,@dotcom_nufc @paullewismoney Bitcoin is dead now,en,[],[],[],0,0,3,[],[],https://twitter.com/ivor_park_fin/status/1542542920229724160,False,,0,,,,,,,,"[{'screen_name': 'dotcom_nufc', 'name': 'Nufc Dotcom', 'id': '866905221775208448'}, {'screen_name': 'paullewismoney', 'name': 'Paul Lewis', 'id': '221338206'}]",,,,
1542540853075447809,1542540853075447809,2022-06-30 21:39:33 IST,2022-06-30,21:39:33,+0530,1007593854059667456,the_verdent,The Verdent,,"Is Bitcoin dead? Bitcoin historical bear market data, Long-term price prediction and On-chain analysis. Watch here:  https://t.co/LJd4yvlALH #BTC #Bitcoin #bitcoincrash #crypto #cryptocrash #cryptocurrency #BitcoinETF",en,[],['https://www.youtube.com/watch?v=O1aXoMF6BJY'],[],1,0,8,"['btc', 'bitcoin', 'bitcoincrash', 'crypto', 'cryptocrash', 'cryptocurrency', 'bitcoinetf']",[],https://twitter.com/the_verdent/status/1542540853075447809,False,,0,,,,,,,,[],,,,
1542538705121861632,1542538705121861632,2022-06-30 21:31:00 IST,2022-06-30,21:31:00,+0530,2335390298,gowilcheck,Peter Jonathan Wilcheck,,Google users think BTC (Bitcoin) is dead — 5 things to know in Bitcoin this week Image: Cointelegraph   https://t.co/jIgTSWENN6  https://t.co/mssZqW73tO,en,[],['https://www.gocryptoblogs.com/news/bitcoin/google-users-think-btc-is-dead-5-things-to-know-in-bitcoin-this-week/'],['https://pbs.twimg.com/media/FWgyxwqUAAEHQBN.png'],0,0,0,[],[],https://twitter.com/gowilcheck/status/1542538705121861632,False,,1,https://pbs.twimg.com/media/FWgyxwqUAAEHQBN.png,,,,,,,[],,,,
1542537332221517824,1542527743178354689,2022-06-30 21:25:33 IST,2022-06-30,21:25:33,+0530,2230417421,multitpark,CryptoCurrency Tech,,@paddi_hansen So the Bitcoin ATM business in EU is dead now. I doubt anyone will give his ID scanned for buying/selling crypto for 5 euro (for example).,en,[],[],[],1,0,1,[],[],https://twitter.com/MultiTpark/status/1542537332221517824,False,,0,,,,,,,,"[{'screen_name': 'paddi_hansen', 'name': 'Patrick Hansen', 'id': '1222139996951457794'}]",,,,
1542537197244403713,1542537197244403713,2022-06-30 21:25:01 IST,2022-06-30,21:25:01,+0530,1106494466855223296,yapglobalteam,YAP Global | We're Hiring,,"Is Bitcoin Really ‘Dead’? ☠  @ashtaybuck, the co-founder of @resource_fi spoke with @BCDWahid from @beincrypto on:  - Why Bitcoin is here to stay - What caused the latest crypto crash - Terra and Luna's impact - Crypto macro outlook for the coming months   https://t.co/MgHQrglHeW",en,"[{'screen_name': 'ashtaybuck', 'name': 'ashley taylor buck', 'id': '168799234'}, {'screen_name': 'resource_fi', 'name': 'resource finance', 'id': '1308496770691993602'}, {'screen_name': 'bcdwahid', 'name': 'the one', 'id': '1276819791047798785'}, {'screen_name': 'beincrypto', 'name': 'beincrypto', 'id': '1021643080208801792'}]",['http://bit.ly/3OVK2E5'],[],0,3,2,[],[],https://twitter.com/YAPGlobalTeam/status/1542537197244403713,False,,0,,,,,,,,[],,,,
1542536243510132736,1542271829242437632,2022-06-30 21:21:14 IST,2022-06-30,21:21:14,+0530,73803494,abebut,Andy ℬebut 🌻📈⚛🃏📢🗽,,@0xJoxes Bitcoin is dead.,en,[],[],[],0,0,0,[],[],https://twitter.com/abebut/status/1542536243510132736,False,,0,,,,,,,,"[{'screen_name': '0xJoxes', 'name': 'Joxes.eth🏴🐼🔴🗻🐺🔁💜📜🧋💙⚡🌿', 'id': '1289381057444425728'}]",,,,
1542534301505523722,1542534301505523722,2022-06-30 21:13:31 IST,2022-06-30,21:13:31,+0530,1387801941699403780,sweetpe90340322,Sweet-Pea Crypto,,Remember when your friends are telling you #Bitcoin is Dead that is the best time to buy 🤫,en,[],[],[],0,0,0,['bitcoin'],[],https://twitter.com/Sweetpe90340322/status/1542534301505523722,False,,0,,,,,,,,[],,,,
1542532790725533696,1542520789286629377,2022-06-30 21:07:30 IST,2022-06-30,21:07:30,+0530,773202471934132224,maskedninja76,㊗ Masked Ninja ㊙,,@IncomeSharks People that didn’t take profits are now saying bitcoin is dead.  lol,en,[],[],[],1,0,0,[],[],https://twitter.com/MaskedNinja76/status/1542532790725533696,False,,0,,,,,,,,"[{'screen_name': 'IncomeSharks', 'name': 'IncomeSharks', 'id': '4441279246'}]",,,,
1542531048977747968,1542531048977747968,2022-06-30 21:00:35 IST,2022-06-30,21:00:35,+0530,1370276014677323780,ciestd2017,Crypto Investment | 50K+ Facebook Community,,Google users think BTC is dead — 5 things to know in Bitcoin this week  https://t.co/pPqSZRRoCL,en,[],['http://dlvr.it/ST74sR'],[],0,0,0,[],[],https://twitter.com/ciestd2017/status/1542531048977747968,False,,0,,,,,,,,[],,,,
1542530938999132163,1542530938999132163,2022-06-30 21:00:09 IST,2022-06-30,21:00:09,+0530,1359858473740210176,fintechandmore,Fintech & More,,"Is Bitcoin Dead? BTC Falls Below $20,000 Amid Crypto Crash. |  https://t.co/GD7td718zr | #investment #stocks  https://t.co/NQWENjTyRk",en,[],['https://buff.ly/3udrIyq'],['https://pbs.twimg.com/media/FWgrtr9XkAsiQ91.jpg'],0,0,0,"['investment', 'stocks']",[],https://twitter.com/fintechandmore/status/1542530938999132163,False,,1,https://pbs.twimg.com/media/FWgrtr9XkAsiQ91.jpg,,,,,,,[],,,,
